tissue,median.IGH,median.IGH.reads
Small Intestine - Terminal Ileum,9.491059206521566,54.9892895394502
Adipose - Visceral (Omentum),0.34707433124456244,2.1668416089155853
Colon - Transverse,9.023836549375709,46.08395129763363
Artery - Tibial,0.041801360054066886,0.16455101081335213
Stomach,3.0166249822723006,15.416925948973242
Cells - Transformed fibroblasts,0.011753643629525154,0.025902262242713962
Lung,2.927074073673886,18.287255686360457
Minor Salivary Gland,16.72883231849984,90.5756240154125
Adrenal Gland,0.072174491680186,0.4338336100374454
Whole Blood,0.9326885208516436,3.4192977797335935
Esophagus - Mucosa,0.8202670950468822,3.281174868802035
Pancreas,0.07581402395815504,0.23302711429136408
Bladder,0.10411244143675169,0.33044667274384687
Prostate,0.17692156651190846,0.7514580529385375
Skin - Not Sun Exposed (Suprapubic),0.06487889308433657,0.31193678189358376
Esophagus - Muscularis,0.04030813364661531,0.16807447136764758
Cells - EBV-transformed lymphocytes,0.1760417901422569,116.66412513145863
Adipose - Subcutaneous,0.11453472101787487,0.6113385055009597
Testis,0.029394473838918283,0.16049217654303924
Skin - Sun Exposed (Lower leg),0.04070398519286708,0.17439156787471544
Colon - Sigmoid,0.059961625039667614,0.27350081175800656
Thyroid,0.13978651350125865,0.8444305316419134
Pituitary,0.05542213216064166,0.24590164186374633
Spleen,18.820595056669756,97.00291187276466
Artery - Coronary,0.35733360351593435,1.772692710317377
Artery - Aorta,0.2489724964351288,1.2875101378751013
Heart - Left Ventricle,0.04030091362271935,0.4084967320261438
Uterus,0.08711948339347403,0.2788955572751732
Vagina,0.303951367781155,1.2981097847655407
Kidney - Cortex,0.20363340843399558,1.4245075819368371
Breast - Mammary Tissue,0.5951282551906637,3.403648841546737
Heart - Atrial Appendage,0.056787844683526045,0.4113707264107663
Nerve - Tibial,0.0857843137254902,0.3763910143616737
Liver,0.31303598257716625,1.8492667253624504
Esophagus - Gastroesophageal Junction,0.0374251497005988,0.16785351051807482
Muscle - Skeletal,0.033412533660621725,0.25660964329941544
Ovary,0.07490668708022047,0.26333240427472904
Brain,0.027392257172009236,0.245839636913767
